id,name,description,success_criteria
insert-lego,Insert LEGO Brick (Single-Hand),Insert a LEGO cap onto a fixed LEGO base; the base is taped to the table with 3M.,LEGO cap fully contacts the base and the base does not move.
press-button,Press Power Button (Single-Hand),Press the power-strip button taped to the table; a connected lamp should toggle.,Lamp color/state changes after the press.
twist-light-bulb,Twist Light Bulb (Bimanual),Rotate the bulb to secure it into the socket.,Bulb lights up after insertion.
pack-into-bag,Pack Cookies into Bag (Bimanual),Open the bag and place the cookies inside.,Cookies are inside the bag.
move-bottle,Move Bottle Between Plates (Bimanual),Pick the bottle from the left fixed plate and place it onto the right fixed plate.,Bottle ends on the right plate.
screw-assembly,Screw Assembly (Bimanual),Pick screws and use the right-hand electric screwdriver to drive them into a fixed screw board with 10 screws.,All screws are driven in; when the board is flipped, no screws fall out.
tie-rope,Tie Rope Knot,Use the grippers to tie a knot with two ropes (varied rope types).,A secure knot is formed on the rope.
ball-into-cup,Place Ball into Cup,Pick the ball from the left plate and place it into the cup on the right plate.,Ball is inside the cup.
